# مجموعة التصنيف الذهبية — Product → HS6 classification golden set.
#
# كلُّ رمزٍ متوقَّعٍ هنا **مشتقٌّ من المرجع الرسمي** (data/hscodes_full.csv) لا
# مُخترَعاً: إمّا صفٌّ يحمل المصطلحَ العربيَّ صراحةً في keywords_ar، أو لا رمزَ
# متوقَّعاً إطلاقاً. حين يعجز المرجعُ عن حمل المنتج بالعربية، السلوكُ الصحيح هو
# `requires_confirmation` — **لا تخمين** (البند ١٣ من أمر الموجة).
#
# Every expected code is derived from the authoritative reference, never invented.
# Where the reference carries no Arabic term for a product, the expected outcome is
# `requires_confirmation` — refusing honestly, not guessing.
#
# الأعمدة · columns
#   product          اسم المنتج كما يكتبه المصنع
#   expect_status    approved | requires_confirmation
#   expect_hs6       الرمز المتوقَّع (فارغ حين لا يحسم المرجع)
#   forbidden_hs6    رموزٌ يجب ألّا تُنتَج أبداً (مفصولة بـ ;) — أقفال العيوب الحيّة
#   evidence         مصدرُ التوقُّع في المرجع
product,expect_status,expect_hs6,forbidden_hs6,evidence
حلاوة طحينية,approved,170490,110100;200819;120740,keywords_ar carries «حلاوة طحينية» on 170490
حلاوه طحينيه,approved,170490,110100;200819,normalization equivalence of the row above
حلاوة طحينية سادة,approved,170490,110100;200819,token coverage of the 170490 Arabic keyword
طحينة,approved,200819,110100;170490,keywords_ar carries «طحينة» on 200819
طحينه,approved,200819,110100;170490,normalization equivalence of the row above
سمسم,requires_confirmation,,200819;170490;090700;110100,120740 (sesamum seeds) carries no Arabic keyword
حلاوة,approved,170490,110100;200819,keywords_ar carries «حلاوة» on 170490
زبدة الفول السوداني,approved,200811,040510,keywords_ar carries «زبدة الفول السوداني» on 200811
زبدة,approved,040510,,keywords_ar carries «زبدة» on 040510
فول سوداني محمص,approved,200811,040510;090121,keywords_ar carries «فول سوداني محمص» on 200811
زيت زيتون بكر,approved,150910,071120,legacy-schema row name_ar «زيت زيتون بكر»
تمور مجففة,approved,080410,,token coverage of «تمور طازجة أو مجففة» on 080410
عسل,approved,040900,,keywords_ar carries «عسل» on 040900
