# فئةُ المنتج من فصل HS — HS-chapter → product category reference (L1).
# الغرض: **الجدولُ الوحيد** لفئة المنتج (كان `silk_ai_judge._HS_CATEGORY` قائمةً في
#   الشيفرة)، ومعها بُعدان جديدان يطلبهما التحليل التجاري (الموجة د):
#   - religion_relevance: هل يؤثّر الحلال فعلاً في هذه الفصول؟
#       affects  = فئةٌ يؤثّر فيها الحلال (مكوّناتٌ حيوانية أو إضافات، تجميل وعناية
#                  شخصية، أدوية ومكمّلات، مشتقّات حيوانية، جلود).
#       inherent = حلالٌ بطبيعته (منتجاتٌ نباتيةٌ بسيطة) ⇒ شرطُ دخولٍ تجاري لا ميزة.
#       none     = لا صلةَ للدين به (صناعي، كيميائي، معدني، آلات) ⇒ لا يُذكر الدين
#                  ولا التركيبةُ الدينية للسكان إطلاقاً.
#   - processing_level: raw / semi / processed — درجةُ التصنيع، تربط الاشتراطَ
#       بالصنف الفعلي لا بالفصل العامّ (البند ٦).
# القاعدةُ عامّةٌ بالفصل — لا صفَّ لمنتجٍ أو سوقٍ بعينه.
#
# **جدولُ تصنيفٍ لا مصدرَ أرقام**: لا يُشتقّ منه رقمٌ ولا حكم. صفٌّ غائب = فئةٌ
#   غيرُ مصنَّفة (`None`) لا تخمين. الفصولُ ٩٣ (أسلحة) و٩٨–٩٩ (بنودٌ خاصّة) تُترك
#   بلا فئةٍ عمداً.
#
# order: ترتيبُ الفئة في القائمة المشتقّة — الفئاتُ الثماني الأصلية تحتفظ
#   بترتيبها (اختباراتٌ تفهرسها)، والجديدةُ بعدها. الصفوفُ التي تشترك في
#   الاسم تُدمَج مدىً واحداً في تلك القائمة (أدنى فصل..أعلى فصل)، وتُقرأ
#   منفصلةً لبُعدي الدين والتصنيع.
# emphasis_ar: تركيزُ اشتراطات القسم ٧ لموجّه الكاتب — حرفيٌّ كما كان في الشيفرة
#   للفئات الثماني (لا يتغيّر في هذه الموجة).
# halal_demand_min_ratio: الشرطُ الثالث لميزة الحلال (الموجة د-٣، تعديلُ المالك):
#   نسبةُ اهتمام البحث بـ«حلال + المنتج» إلى «المنتج» وحدَه في الحمولة نفسِها.
#   **نسبيةٌ لا عتبةُ «> 0»**: أقلُّ منها = لم نرصد طلباً على الحلال بعد.
#   تُملأ لفئات `affects` وحدَها؛ فارغةٌ في غيرها (لا شرطَ يُقاس أصلاً).
# source: مرجعُ التصنيف الدينيّ: SMIIC 1:2019 (المعهد الإسلامي للمواصفات، المتطلبات
#   العامة للغذاء الحلال) وGSO 2055-1 (هيئة التقييس الخليجية) للغذاء والمكوّنات؛
#   وأقسامُ نظام HS للفصول. الفقهُ التفصيلي (مثل الأسماك) يُعلَن في note لا يُحسَم.
chapter_from,chapter_to,order,category,religion_relevance,processing_level,emphasis_ar,source,note,halal_demand_min_ratio
1,1,1,منتج غذائي/زراعي,affects,raw,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4; GSO 2055-1,حيوانات حية — الذبح وشهادة الحلال,0.2
2,2,1,منتج غذائي/زراعي,affects,raw,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4; GSO 2055-1,لحوم,0.2
3,3,1,منتج غذائي/زراعي,inherent,raw,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4,أسماك — حلالٌ بطبيعتها في الأغلب؛ خلافٌ فقهيٌّ محدود في بعض الأصناف يُذكر عند الحاجة,
4,4,1,منتج غذائي/زراعي,affects,semi,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4.3,ألبان وبيض وعسل — الإنزيمات والجيلاتين والمستحلبات,0.2
5,5,1,منتج غذائي/زراعي,affects,raw,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4,منتجات حيوانية أخرى,0.2
6,14,1,منتج غذائي/زراعي,inherent,raw,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4.2,نباتات وخضر وفواكه وبنّ وشاي وحبوب وبذور — حلالٌ بطبيعتها,
15,15,1,منتج غذائي/زراعي,affects,semi,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4.3,دهون وزيوت — أصلٌ حيوانيٌّ محتمل,0.2
16,16,1,منتج غذائي/زراعي,affects,processed,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4,محضّرات لحوم وأسماك,0.2
17,22,1,منتج غذائي/زراعي,affects,processed,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",SMIIC 1:2019 §4.3–4.4,سكريات وكاكاو ومحضّرات ومشروبات — إضافات ونكهات ومواد كحولية,0.2
23,23,1,منتج غذائي/زراعي,none,semi,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",HS Section IV,أعلاف ومخلّفات صناعات الأغذية — لا يُذكر الدين,
24,24,1,منتج غذائي/زراعي,none,processed,"سلامة الغذاء، حدود الملوّثات والمبيدات، مكافحة الآفات، وشهادات الجودة الغذائية (BRC/IFS/FSSC) والحلال حيث انطبق",HS Section IV,تبغ,
25,27,9,خامات معدنية/وقود,none,raw,"اشتراطات النقل والتخزين، وتوثيق المنشأ والمواصفة الفنية للخام",HS Section V,فصولٌ كانت بلا فئة قبل الموجة د,
28,29,2,منتج كيميائي/بلاستيكي,none,semi,تسجيل REACH وبطاقات بيانات السلامة وحدود المواد المقيَّدة,HS Section VI,كيماويات غير عضوية وعضوية,
30,30,2,منتج كيميائي/بلاستيكي,affects,processed,تسجيل REACH وبطاقات بيانات السلامة وحدود المواد المقيَّدة,SMIIC 1:2019 (المكوّنات ذات الأصل الحيواني); OIC/SMIIC 24,أدوية ومكمّلات — كبسولات جيلاتينية ومكوّنات حيوانية,0.2
31,32,2,منتج كيميائي/بلاستيكي,none,semi,تسجيل REACH وبطاقات بيانات السلامة وحدود المواد المقيَّدة,HS Section VI,أسمدة وأصباغ,
33,34,2,منتج كيميائي/بلاستيكي,affects,processed,تسجيل REACH وبطاقات بيانات السلامة وحدود المواد المقيَّدة,OIC/SMIIC 4 (مستحضرات التجميل الحلال),تجميل وعطور وعناية شخصية وصابون — الكحول والمكوّنات الحيوانية,0.2
35,35,2,منتج كيميائي/بلاستيكي,affects,semi,تسجيل REACH وبطاقات بيانات السلامة وحدود المواد المقيَّدة,SMIIC 1:2019 §4.3,مواد زلالية وجيلاتين وغراء — أصلٌ حيوانيٌّ محتمل,0.2
36,39,2,منتج كيميائي/بلاستيكي,none,semi,تسجيل REACH وبطاقات بيانات السلامة وحدود المواد المقيَّدة,HS Sections VI–VII,متفجّرات وأفلام وكيماويات متنوّعة ولدائن,
40,40,10,مطاط ومنتجاته,none,semi,"سلامة المنتج ومطابقة المواصفة الفنية للسوق",HS Section VII,,
41,43,11,جلود ومصنوعات جلدية,affects,semi,"منشأ الجلد ومعالجته، وبطاقات المحتوى، وقيود المواد المقيَّدة",SMIIC 1:2019 §4 (المشتقّات الحيوانية),جلودٌ أصلها حيواني — الحلال يؤثّر,0.2
44,49,12,خشب وورق ومنتجاتهما,none,semi,"شهادات المنشأ الحرجي، ومطابقة المواصفة الفنية",HS Sections IX–X,,
50,67,3,منسوجات/ملابس/أحذية,none,processed,"بطاقات المحتوى والعناية، قيود الأصباغ (azo) ضمن REACH، وسلامة المنتج الاستهلاكي",HS Sections XI–XII,,
68,71,13,حجر وزجاج وخزف ومجوهرات,none,processed,"سلامة المنتج، ووسم المعادن الثمينة وتوثيق المنشأ",HS Sections XIII–XIV,,
72,83,4,معادن/مصنوعات معدنية,none,semi,المعايير التقنية ومطابقة المواصفات القياسية للسوق,HS Section XV,,
84,85,5,آلات/معدّات كهربائية,none,processed,"علامة CE، التوافق الكهرومغناطيسي (EMC)، وتوجيهات السلامة",HS Section XVI,,
86,89,6,مركبات/معدّات نقل,none,processed,اعتماد النوع (homologation) والمطابقة التقنية الإلزامية,HS Section XVII,,
90,92,7,أجهزة/أدوات دقيقة,none,processed,"علامة CE، ومتطلبات الأجهزة الطبية حيث انطبقت",HS Section XVIII,,
94,96,8,أثاث/ألعاب/سلع استهلاكية,none,processed,"سلامة المنتج الاستهلاكي، سلامة الألعاب، وقيود REACH",HS Section XX,,
