# المدخلاتُ الخام لكلّ فصل HS — raw-input chapters per product chapter (L1).
# الغرض: البند ١ من الموجة د («ميزة التكلفة»): هل تُنتج السعودية المادةَ الخام
#   للمنتج أم تستوردها؟ لا إنتاجَ كمّياً متاحاً في طبقة البيانات، فالمقياسُ
#   المعلن هو **صافي تجارة السعودية** في رموز المدخلات (صادرات − واردات، UN
#   Comtrade) — مؤشّرٌ للإنتاج لا قياسٌ له، ويُقال ذلك في كلّ استنتاج.
# القاعدةُ عامّةٌ بالفصل — لا صفَّ لمنتجٍ أو سوقٍ بعينه. صفٌّ غائب = «لم نحدّد
#   مدخلاتِ هذا الفصل بعد» (فجوةٌ معلنة)، لا تخمين.
# المصدر: تسلسلُ نظام HS نفسُه (أقسامُه تسبق المدخلَ قبل المنتَج) — WCO HS 2022؛
#   والاختيارُ يقتصر على ≤ ٣ رموز HS4 أعلى وزناً لكلّ فصل.
# الأعمدة: chapter (فصل المنتج)، input_codes (رموز HS4 للمدخلات مفصولة بـ;)،
#   input_label_ar (تسميةٌ للقارئ)، source، note.
chapter,input_codes,input_label_ar,source,note
02,0102;0103;0105,حيوانات حية,WCO HS 2022 Section I,لحوم
04,0102;1214;2309,أبقار حية وأعلاف,WCO HS 2022,ألبان — الأعلافُ المدخلُ الأثقل وزناً
15,1201;1507;1511,بذور زيتية وزيوت خام,WCO HS 2022 Section III,زيوت ودهون
16,0201;0207;0303,لحوم وأسماك,WCO HS 2022,محضّرات لحوم وأسماك
17,1212;1701,بنجر/قصب وسكر خام,WCO HS 2022 Section IV,سكريات
18,1801,كاكاو خام,WCO HS 2022,
19,1001;1101;1103,قمح ودقيق وجريش,WCO HS 2022,محضّرات حبوب ومعكرونة
20,0804;0805;0808,فواكه طازجة,WCO HS 2022,محضّرات فواكه وخضر — تُقرأ بالصنف الفعلي
21,1701;1806;2106,سكر ومركّزات ومحضّرات,WCO HS 2022,محضّرات غذائية متنوّعة
22,2009;1701;2207,عصائر وسكر وكحول إيثيلي,WCO HS 2022,مشروبات
28,2501;2503;2805,أملاح وكبريت ومعادن قلوية,WCO HS 2022 Section VI,كيماويات غير عضوية
29,2709;2711;2710,نفط خام وغازات نفطية ومنتجات نفطية,WCO HS 2022,كيماويات عضوية — مشتقّات بتروكيماوية
30,2933;2941;3002,مركّبات دوائية ومضادات حيوية,WCO HS 2022,أدوية
33,3301;2905;1515,زيوت عطرية وكحولات وزيوت نباتية,WCO HS 2022,تجميل وعطور
34,1511;1513;3402,زيوت نباتية ومواد فعّالة سطحياً,WCO HS 2022,صابون ومنظّفات
38,2902;2905;2915,هيدروكربونات وكحولات وأحماض,WCO HS 2022,كيماويات متنوّعة
39,2901;2711;2902,هيدروكربونات وغازات نفطية,WCO HS 2022,لدائن — الإيثيلين والبروبيلين والغازات
40,4001;4002;2902,مطاط طبيعي وصناعي,WCO HS 2022 Section VII,مطاط
41,4101;4102,جلود خام,WCO HS 2022 Section VIII,جلود
44,4403;4407,خشب خام ومنشور,WCO HS 2022 Section IX,خشب
48,4703;4707;4403,لب الورق ونفايات ورق,WCO HS 2022 Section X,ورق وكرتون
52,5201;5205,قطن خام وخيوط قطن,WCO HS 2022 Section XI,منسوجات قطنية
54,3907;5402,بوليسترات وخيوط صناعية,WCO HS 2022,خيوط صناعية
61,5205;5402;6006,خيوط وأقمشة محبوكة,WCO HS 2022,ملابس محبوكة
62,5208;5407;5512,أقمشة منسوجة,WCO HS 2022,ملابس منسوجة
64,4104;4107;3921,جلود مدبوغة ولدائن,WCO HS 2022,أحذية
69,2508;2507,طين وكاولين,WCO HS 2022 Section XIII,خزف
70,2505;2836,رمل وكربونات صوديوم,WCO HS 2022,زجاج
72,2601;7201;7204,خام حديد وحديد غفل وخردة,WCO HS 2022 Section XV,حديد وصلب
73,7208;7210;7304,لفائف وأنابيب صلب,WCO HS 2022,مصنوعات حديد
76,2606;2818;7601,بوكسيت وألومينا وألمنيوم خام,WCO HS 2022,ألمنيوم
84,7208;7601;8501,صلب وألمنيوم ومحرّكات,WCO HS 2022 Section XVI,آلات — مدخلات معدنية ومحرّكات
85,8541;8542;7403,أشباه موصلات ودارات ونحاس,WCO HS 2022,معدّات كهربائية
87,7208;8407;8708,صلب ومحرّكات وأجزاء,WCO HS 2022 Section XVII,مركبات
94,4407;4411;7208,خشب وألواح ليفية وصلب,WCO HS 2022 Section XX,أثاث
